timestamp,open,high,low,close,volume
2017-06-06,153.9000,155.8100,153.7800,154.4500,26249630
2017-06-05,154.3400,154.4500,153.4600,153.9300,24803858
2017-06-02,153.5800,155.4500,152.8900,155.4500,27285861
2017-06-01,153.1700,153.3300,152.2200,153.1800,16180143
2017-05-31,153.9700,154.1700,152.3800,152.7600,23162873
2017-05-30,153.4200,154.4300,153.3300,153.6700,20034934
2017-05-26,154.0000,154.2400,153.3100,153.6100,21632202
2017-05-25,153.7300,154.3500,153.0300,153.8700,19044463
2017-05-24,153.8400,154.1700,152.6700,153.3400,19118319
2017-05-23,154.9000,154.9000,153.3100,153.8000,19430358
2017-05-22,154.0000,154.5800,152.9100,153.9900,22340069
2017-05-19,153.3800,153.9800,152.6300,153.0600,26733798
2017-05-18,151.2700,153.3400,151.1300,152.5400,33159664
2017-05-17,153.6000,154.5700,149.7100,150.2500,49482818
2017-05-16,155.9400,156.0600,154.7200,155.4700,19904679
2017-05-15,156.0100,156.6500,155.0500,155.7000,25700983
2017-05-12,154.7000,156.4200,154.6700,156.1000,32221756
2017-05-11,152.4500,154.0700,152.3100,153.9500,25596687
2017-05-10,153.6300,153.9400,152.1100,153.2600,25670456
2017-05-09,153.8700,154.8800,153.4500,153.9900,35942435
2017-05-08,149.0300,153.7000,149.0300,153.0100,48339210
2017-05-05,146.7600,148.9800,146.7600,148.9600,26787359
2017-05-04,146.5200,147.1400,145.8100,146.5300,23275690
2017-05-03,145.5900,147.4900,144.2700,147.0600,45142806
2017-05-02,147.5400,148.0900,146.8400,147.5100,39752670
2017-05-01,145.1000,147.2000,144.9600,146.5800,32818760
2017-04-28,144.0900,144.3000,143.2700,143.6500,20247187
2017-04-27,143.9200,144.1600,143.3100,143.7900,13948980
2017-04-26,144.4700,144.6000,143.3800,143.6800,19614287
2017-04-25,143.9100,144.9000,143.8700,144.5300,18216472
2017-04-24,143.5000,143.9500,143.1800,143.6400,17116599
2017-04-21,142.4400,142.6800,141.8500,142.2700,17320928
2017-04-20,141.2200,142.9200,141.1600,142.4400,23319562
2017-04-19,141.8800,142.0000,140.4500,140.6800,17328375
2017-04-18,141.4100,142.0400,141.1100,141.2000,14697544
2017-04-17,141.4800,141.8800,140.8700,141.8300,16582094
2017-04-13,141.9100,142.3800,141.0500,141.0500,17822880
2017-04-12,141.6000,142.1500,141.0100,141.8000,20350000
2017-04-11,142.9400,143.3500,140.0600,141.6300,30379376
2017-04-10,143.6000,143.8800,142.9000,143.1700,18933397
2017-04-07,143.7300,144.1800,143.2700,143.3400,16658543
2017-04-06,144.2900,144.5200,143.4500,143.6600,21149034
